CVX
['Date', 'Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']
['2023-10-09', '166.380005', '168.190002', '164.949997', '166.720001', '163.209595', '8183500']
['2023-10-10', '166.770004', '167.399994', '165.679993', '166.539993', '163.033386', '6512900']
['2023-10-11', '165.070007', '165.080002', '160.479996', '161.100006', '157.707932', '12570700']
['2023-10-12', '163.259995', '163.259995', '160.899994', '161.229996', '157.835190', '7397000']
['2023-10-13', '163.410004', '164.839996', '162.300003', '164.059998', '160.605606', '8042800']
['2023-10-16', '165.339996', '165.809998', '163.850006', '165.399994', '161.917389', '5446000']
['2023-10-17', '164.830002', '168.199997', '164.649994', '167.589996', '164.061279', '7538300']
['2023-10-18', '168.470001', '169.699997', '167.580002', '168.919998', '165.363266', '6893500']
['2023-10-19', '168.699997', '170.169998', '167.509995', '169.100006', '165.539474', '6580200']
['2023-10-20', '168.410004', '169.100006', '166.100006', '166.830002', '163.317276', '7457300']
['2023-10-23', '163.300003', '164.429993', '160.250000', '160.679993', '157.296753', '16232400']
['2023-10-24', '160.889999', '161.080002', '156.470001', '156.649994', '153.351608', '17689900']
['2023-10-25', '156.940002', '157.410004', '155.169998', '155.869995', '152.588043', '10502400']
['2023-10-26', '155.009995', '155.179993', '153.630005', '154.750000', '151.491623', '10830400']
['2023-10-27', '150.720001', '151.250000', '143.960007', '144.350006', '141.310608', '24524300']
['2023-10-30', '145.660004', '146.440002', '144.320007', '146.089996', '143.013962', '13857100']
['2023-10-31', '146.100006', '146.520004', '144.229996', '145.729996', '142.661545', '14261300']
['2023-11-01', '145.979996', '146.009995', '143.820007', '143.979996', '140.948395', '10819600']
['2023-11-02', '144.539993', '149.000000', '143.830002', '148.759995', '145.627747', '11099100']
['2023-11-03', '148.300003', '148.559998', '146.149994', '147.610001', '144.501968', '13153000']
['2023-11-06', '148.729996', '149.330002', '146.690002', '147.000000', '143.904816', '10634200']
['2023-11-07', '145.160004', '145.610001', '143.240005', '144.410004', '141.369354', '15054600']
['2023-11-08', '143.880005', '144.649994', '142.250000', '142.399994', '139.401657', '12654100']
['2023-11-09', '143.050003', '143.910004', '141.779999', '141.940002', '138.951355', '10359500']
['2023-11-10', '143.289993', '143.440002', '141.729996', '142.949997', '139.940079', '11988200']
['2023-11-13', '143.149994', '144.300003', '142.850006', '144.000000', '140.967972', '8747700']
['2023-11-14', '144.479996', '145.500000', '143.860001', '145.050003', '141.995880', '11224400']
['2023-11-15', '144.860001', '146.639999', '144.410004', '145.559998', '142.495132', '10052100']
['2023-11-16', '143.020004', '143.509995', '140.740005', '141.770004', '140.239746', '14031300']
['2023-11-17', '142.949997', '145.190002', '142.399994', '144.460007', '142.900711', '11075600']
['2023-11-20', '144.630005', '145.690002', '144.270004', '144.380005', '142.821564', '8062400']
['2023-11-21', '143.830002', '144.300003', '142.699997', '144.039993', '142.485229', '6783300']
['2023-11-22', '141.740005', '144.389999', '140.720001', '144.330002', '142.772110', '7216100']
['2023-11-24', '144.300003', '145.940002', '144.199997', '144.899994', '143.335953', '3861000']
['2023-11-27', '144.649994', '144.820007', '142.850006', '144.360001', '142.801788', '9850800']
['2023-11-28', '144.779999', '146.520004', '144.059998', '145.509995', '143.939362', '9746500']
['2023-11-29', '146.389999', '146.490005', '143.059998', '143.910004', '142.356644', '16417100']
['2023-11-30', '144.979996', '146.009995', '142.029999', '143.600006', '142.049988', '16276000']
['2023-12-01', '143.490005', '146.509995', '142.600006', '144.809998', '143.246918', '11905500']
['2023-12-04', '144.000000', '145.699997', '143.250000', '144.869995', '143.306274', '11842800']
['2023-12-05', '144.759995', '145.070007', '142.630005', '142.860001', '141.317978', '9597600']
['2023-12-06', '141.899994', '144.029999', '141.350006', '142.529999', '140.991531', '18079700']
['2023-12-07', '143.509995', '144.009995', '140.990005', '142.419998', '140.882721', '14786700']
['2023-12-08', '143.509995', '144.669998', '143.119995', '144.309998', '142.752319', '10820300']
['2023-12-11', '144.839996', '145.399994', '143.820007', '144.350006', '142.791901', '9849600']
['2023-12-12', '143.169998', '143.589996', '141.750000', '142.500000', '140.961853', '9863900']
['2023-12-13', '142.169998', '144.679993', '141.649994', '144.610001', '143.049088', '10641300']
['2023-12-14', '145.850006', '149.929993', '145.850006', '149.929993', '148.311646', '14960500']
['2023-12-15', '147.320007', '149.820007', '147.320007', '149.350006', '147.737930', '30848700']
['2023-12-18', '150.830002', '152.119995', '149.320007', '149.679993', '148.064346', '11561700']
['2023-12-19', '149.960007', '151.830002', '149.490005', '151.639999', '150.003204', '8738100']
['2023-12-20', '152.149994', '153.059998', '150.059998', '150.250000', '148.628204', '9370000']
['2023-12-21', '150.779999', '150.800003', '149.220001', '150.710007', '149.083252', '7264700']
['2023-12-22', '151.740005', '152.389999', '150.750000', '151.050003', '149.419571', '6394600']
['2023-12-26', '152.070007', '153.009995', '151.899994', '152.410004', '150.764893', '5165600']
['2023-12-27', '152.270004', '152.970001', '151.339996', '151.910004', '150.270294', '5337200']
